season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,2,"00:13:43,030","00:13:44,160",1.13,178,Is that so?
1,2,"00:13:44,990","00:13:51,210",6.22,179,"In that case, I will just kill you."
1,2,"00:13:53,666","00:13:56,586",2.92,180,"How merciless. After all, I helped you."
1,2,"00:13:56,669","00:13:59,629",2.96,181,Sorry that I am so merciless for such a cute face.
1,2,"00:14:08,847","00:14:13,849",5.00,182,I brought you to our house with the Jade Plaque and to Songrim with the Spirit Plaque.
1,2,"00:14:14,645","00:14:16,725",2.08,183,"And now, look where we are."
1,2,"00:14:24,530","00:14:26,120",1.59,184,This is Songrim's secret room.
1,2,"00:14:27,074","00:14:30,544",3.47,185,"Once that door closes, we can only get out if someone opens from the outside."
1,2,"00:14:31,787","00:14:33,367",1.58,186,We are locked in here together.
1,2,"00:14:35,624","00:14:36,794",1.17,187,Do not move!
1,2,"00:14:37,293","00:14:39,883",2.59,188,"Step on the wrong spot, and the ground will cave in."
1,2,"00:14:43,173","00:14:47,303",4.13,189,"Kill me, and you will be killed by the Songrim mages who will enter."
1,2,"00:14:47,386","00:14:50,756",3.37,190,"But if you agree to be my master, we will get out of this unscathed."
1,2,"00:14:54,184","00:14:57,274",3.09,191,I do not have the strength to break his gate of energy right now.
1,2,"00:14:57,771","00:14:59,651",1.88,192,He will catch wind of it if I stay here.
1,2,"00:15:00,232","00:15:01,282",1.05,193,I need my sword.
1,2,"00:15:02,651","00:15:04,611",1.96,194,I have become weak due to shifting souls.
1,2,"00:15:04,695","00:15:07,525",2.83,195,I need my sword's energy to open your gate of energy.
1,2,"00:15:08,073","00:15:12,537",4.46,196,"Without that, there is nothing I can do in here."
1,2,"00:15:13,662","00:15:17,708",4.05,197,"To retrieve my sword, I need to go out there."
1,2,"00:15:17,791","00:15:18,921",1.13,198,So stop that.
1,2,"00:15:21,170","00:15:22,460",1.29,199,Did you not hear me?
1,2,"00:15:22,546","00:15:25,626",3.08,200,I cannot do that. I need to wait until it fully closes first.
1,2,"00:15:27,301","00:15:29,471",2.17,201,"You! You lied, did you not?"
1,2,"00:15:32,598","00:15:33,808",1.21,202,Do not move!
1,2,"00:15:33,891","00:15:36,061",2.17,203,"If you do, the ground will cave in!"
1,2,"00:15:33,891","00:15:36,061",2.17,204,Wait!
1,2,"00:15:39,146","00:15:40,766",1.62,205,Grab tightly! You are slipping!
1,2,"00:15:41,649","00:15:44,279",2.63,206,Where is your face touching?
1,2,"00:15:41,649","00:15:44,279",2.63,207,Shut it!
1,2,"00:15:44,360","00:15:46,070",1.71,208,Hey!
1,2,"00:15:44,360","00:15:46,070",1.71,209,Hey!
1,2,"00:15:46,153","00:15:47,113",0.96,210,You little…
1,2,"00:15:47,863","00:15:50,533",2.67,211,That hurts!
1,2,"00:15:47,863","00:15:50,533",2.67,212,It was not intentional.
1,2,"00:15:50,616","00:15:52,736",2.12,213,It hurts!
1,2,"00:15:50,616","00:15:52,736",2.12,214,Just wait.
1,2,"00:15:53,327","00:15:54,197",0.87,215,Let me go.
1,2,"00:16:00,000","00:16:02,250",2.25,216,"By the way, how will we find your sword?"
1,2,"00:16:03,128","00:16:05,128",2.00,217,I know who took it. I can find it.
