season,episode,line,start_time,end_time,text
1,1,180,00:24:41:02,00:24:43:15,"So what would you know
about respecting your master?"
1,1,181,00:24:43:17,00:24:46:11,I refuse to teach a guy like you.
1,1,182,00:24:47:12,00:24:49:16,"I may not know much about
respecting a master,"
1,1,183,00:24:49:18,00:24:51:09,but I do know how to be a creditor.
1,1,184,00:24:51:11,00:24:53:00,"Say one more word,"
1,1,185,00:24:53:02,00:24:55:08,"and you will not be able
to build that sanctuary."
1,1,186,00:24:56:23,00:24:58:18,Because I will be getting a refund.
1,1,187,00:24:59:11,00:25:04:05,"No one in this world will teach you spells
because of your father."
1,1,188,00:25:04:07,00:25:06:20,"Goodness, thank you for your concern."
1,1,189,00:25:07:22,00:25:11:09,I will find my own master.
1,1,190,00:25:12:03,00:25:15:06,Someone extremely powerful and skilled.
1,1,191,00:25:32:13,00:25:34:04,"Mu-deok, are you all right?"
1,1,192,00:26:35:02,00:26:38:00,"Why did I have to enter
a body like this one?"
1,1,193,00:26:41:00,00:26:43:05,I am sure she was blind.
1,1,194,00:26:48:08,00:26:50:03,But why is it that I see?
1,1,195,00:26:50:20,00:26:52:13,Is it because I am a different soul?
1,1,196,00:26:55:08,00:26:58:02,"She did not even have a blue mark
showing I entered her body."
1,1,197,00:26:58:04,00:26:59:15,How unusual.
1,1,198,00:27:00:17,00:27:03:18,"Try to bear with the motion sickness.
We are almost there, Mu-deok."
1,1,199,00:27:06:07,00:27:07:06,"""Mu-deok."""
1,1,200,00:27:07:08,00:27:10:20,"She is a blind girl from the countryside
who got sold off to the fortress."
1,1,201,00:27:14:09,00:27:15:18,Sit down. You will fall.
1,1,202,00:27:26:18,00:27:28:04,Thanks for the journey.
1,1,203,00:27:29:01,00:27:30:01,I will be off now.
1,1,204,00:27:42:12,00:27:43:19,What is wrong with me?
1,1,205,00:27:44:08,00:27:45:17,I have no strength.
1,1,206,00:27:46:11,00:27:48:21,"Is this body not capable of
even climbing this?"
1,1,207,00:27:50:24,00:27:52:03,My arms feel weak.
1,1,208,00:27:53:01,00:27:54:07,Mister!
1,1,209,00:27:54:22,00:27:56:12,"-Help me!
-What…"
1,1,210,00:27:56:14,00:27:58:08,"-Mister!
-Oh, dear!"
1,1,211,00:27:58:10,00:27:59:19,"Mu-deok, hold on!"
1,1,212,00:27:59:21,00:28:00:18,Mister!
1,1,213,00:28:00:20,00:28:03:11,Turn the boat around! Go back!
1,1,214,00:28:03:13,00:28:05:03,"-My goodness.
-Oh, dear! Mu-deok!"
1,1,215,00:28:05:05,00:28:06:07,I will fall.
1,1,216,00:28:06:09,00:28:07:10,Mister!
1,1,217,00:28:19:08,00:28:23:10,"Why were you hanging from there
when you cannot even see?"
1,1,218,00:28:23:12,00:28:24:20,You could have gotten hurt.
1,1,219,00:28:26:16,00:28:28:03,This is really bad.
1,1,220,00:28:28:05,00:28:30:01,My strength is gone.
1,1,221,00:28:35:13,00:28:37:00,Is it motion sickness again?
1,1,222,00:28:37:16,00:28:40:22,I am so worried about how weak you are.
1,1,223,00:28:41:11,00:28:42:23,Weak.
