"season","episode","number_line","timecode_in","timecode_out","text"
"1","3","132","00:09:14:24","00:09:16:17","I merely take it for that."
"1","3","133","00:09:22:22","00:09:26:11","Loneliness prevents you
from falling asleep."
"1","3","134","00:09:26:14","00:09:28:21","You should have gotten married
when you were young."
"1","3","135","00:09:29:16","00:09:34:14","Are you still not over Do-hwa?
Is that why you are alone?"
"1","3","136","00:09:46:08","00:09:47:10","It is empty."
"1","3","137","00:09:48:07","00:09:49:11","-What?
-You finished it."
"1","3","138","00:09:50:22","00:09:53:06","That is not possible. What?"
"1","3","139","00:09:57:08","00:09:58:12","What in the world…"
"1","3","140","00:09:58:14","00:10:01:05","I guess you were unbelievably lonely."
"1","3","141","00:10:01:07","00:10:04:08","I only had a glass
every time I could not sleep."
"1","3","142","00:10:04:24","00:10:06:13","I only had one glass each time…"
"1","3","143","00:10:13:08","00:10:16:19","This is the wine that
my uncle hides in his room."
"1","3","144","00:10:16:21","00:10:18:12","It tastes quite nice."
"1","3","145","00:10:19:06","00:10:22:17","Anyway, Uk's life-long dream
has finally come true."
"1","3","146","00:10:22:19","00:10:24:00","So let us celebrate."
"1","3","147","00:10:24:13","00:10:26:05","That girl, Mu-deok…"
"1","3","148","00:10:26:07","00:10:28:08","He recently brought her
from a brothel, right?"
"1","3","149","00:10:30:03","00:10:33:08","She risked her life for him
even though they only just met."
"1","3","150","00:10:35:14","00:10:36:16","It is strange."
"1","3","151","00:10:36:17","00:10:39:13","Uk saved her
from having to become a gisaeng."
"1","3","152","00:10:39:15","00:10:42:23","She hated it so much that
she even pretended to be blind."
"1","3","153","00:10:43:00","00:10:44:17","Have a drink."
"1","3","154","00:10:44:19","00:10:45:24","""Blind""?"
"1","3","155","00:10:46:16","00:10:50:02","Yes. According to Ju-wol,
she was blind when she came"
"1","3","156","00:10:50:04","00:10:52:01","but could see just fine when she left."
"1","3","157","00:10:52:03","00:10:54:01","The wine tastes great."
"1","3","158","00:10:55:23","00:10:57:09","She easily deceives people."
"1","3","159","00:10:58:10","00:11:01:15","She lied about being blind
and even said she poisoned Uk."
"1","3","160","00:11:02:23","00:11:05:06","She did not speak
even though she was tortured."
"1","3","161","00:11:05:19","00:11:07:11","There is more to her than meets the eye."
"1","3","162","00:11:07:13","00:11:10:02","On the outside,
she just looks cute and naive."
"1","3","163","00:11:10:04","00:11:12:10","She seems to be hiding something."
"1","3","164","00:11:19:04","00:11:21:20","-You finished it.
-What? What about it?"
"1","3","165","00:11:23:04","00:11:25:14","Your uncle is on his way here,"
"1","3","166","00:11:25:16","00:11:27:03","so I am guessing you are doomed."
"1","3","167","00:11:28:05","00:11:30:19","-I did not drink any.
-Wait. Yul."
"1","3","168","00:11:30:21","00:11:31:23","Yul!"
"1","3","169","00:11:34:17","00:11:36:01","-Oh, gosh.
-Dang-gu."
"1","3","170","00:11:38:03","00:11:39:12","I am dead."
"1","3","171","00:11:41:10","00:11:42:13","Dang-gu."
"1","3","172","00:11:44:12","00:11:45:15","It was you, right?"
"1","3","173","00:11:46:08","00:11:47:06","No."
"1","3","174","00:11:52:13","00:11:53:22","Come here."
"1","3","175","00:11:54:16","00:11:56:13","-Dang-gu.
-Yes, Uncle?"
