"season","episode","number_line","timecode_in","timecode_out","text"
"1","4","328","00:31:11:16","00:31:12:20","What will you do?"
"1","4","329","00:31:14:02","00:31:16:20","Join hands and come at me."
"1","4","330","00:31:24:15","00:31:26:12","This is not looking good."
"1","4","331","00:31:26:14","00:31:29:15","It will look like our families
are up against the royalty."
"1","4","332","00:31:29:16","00:31:31:14","This is getting pretty serious."
"1","4","333","00:31:31:17","00:31:33:06","Cho-yeon provoked him."
"1","4","334","00:31:33:08","00:31:35:00","What did I do?"
"1","4","335","00:31:35:14","00:31:38:10","Then let us just hand Uk over."
"1","4","336","00:31:38:11","00:31:39:13","Your Royal Highness."
"1","4","337","00:31:40:06","00:31:42:17","They are the four heirs of Daeho."
"1","4","338","00:31:43:07","00:31:44:18","The King will be furious"
"1","4","339","00:31:44:20","00:31:46:09","if he hears of this fight."
"1","4","340","00:31:47:22","00:31:50:05","Then what? Should I just leave?"
"1","4","341","00:31:51:11","00:31:53:13","You should have stopped me
before I started."
"1","4","342","00:32:07:16","00:32:08:15","Mu-deok, you…"
"1","4","343","00:32:17:02","00:32:18:19","I am terribly sorry, Your Royal Highness."
"1","4","344","00:32:20:03","00:32:23:03","How dare a lowly brat like me
splash filthy chamber pot water"
"1","4","345","00:32:23:05","00:32:24:12","on your precious clothes?"
"1","4","346","00:32:29:16","00:32:31:23","I am sorry. I truly am."
"1","4","347","00:32:32:00","00:32:33:04","Go away."
"1","4","348","00:32:33:06","00:32:35:13","Get lost. You reek. Go."
"1","4","349","00:32:36:14","00:32:38:22","Please forgive us."
"1","4","350","00:32:42:18","00:32:47:13","As a token of my apology,
I will drink the rest of this."
"1","4","351","00:32:48:11","00:32:50:17","So please forgive us."
"1","4","352","00:33:00:17","00:33:01:16","Mu-deok!"
"1","4","353","00:33:03:24","00:33:06:02","Why on earth would you drink that?"
"1","4","354","00:33:08:21","00:33:09:20","Young Master!"
"1","4","355","00:33:13:01","00:33:14:15","I should be the one drinking it."
"1","4","356","00:33:16:12","00:33:17:20","What?"
"1","4","357","00:33:19:15","00:33:21:05","That is not true."
"1","4","358","00:33:21:07","00:33:23:03","Why would you drink this?"
"1","4","359","00:33:23:05","00:33:25:17","I am the cause of all this, so I should."
"1","4","360","00:33:25:19","00:33:28:15","You got it all wrong.
His Royal Highness is upset at me."
"1","4","361","00:33:28:17","00:33:30:18","So I ought to drink it."
"1","4","362","00:33:34:09","00:33:36:09","There is quite a lot."
"1","4","363","00:33:37:05","00:33:39:22","Just give it to me. I will drink it."
"1","4","364","00:33:39:24","00:33:41:02","Then should we share it?"
"1","4","365","00:33:42:10","00:33:44:16","Why would we share drinking
this filthy water?"
"1","4","366","00:33:44:18","00:33:46:01","What?"
"1","4","367","00:33:46:03","00:33:47:05","You can have it all."
"1","4","368","00:33:49:09","00:33:51:13","Then I will drink some and hand it to you."
"1","4","369","00:33:51:15","00:33:54:08","Help me hold it up
since I cannot use my right arm."
"1","4","370","00:33:58:08","00:33:59:03","Young Master!"
"1","4","371","00:34:03:20","00:34:05:06","I will drink…"
"1","4","372","00:34:06:12","00:34:07:11","I will drink it."
"1","4","373","00:34:08:15","00:34:09:14","Forget it."
"1","4","374","00:34:09:16","00:34:11:13","Why would you drink this?"
"1","4","375","00:34:11:15","00:34:12:19","Just go."
"1","4","376","00:34:12:21","00:34:15:02","Exactly how much is there?"
"1","4","377","00:34:15:04","00:34:16:19","Do you want me to help out too?"
"1","4","378","00:34:17:10","00:34:19:17","-Really?
-Give it to me."
"1","4","379","00:34:23:09","00:34:24:12","It really is chamber pot water."
"1","4","380","00:34:27:21","00:34:29:01","Your Royal Highness."
"1","4","381","00:34:29:03","00:34:31:03","How could we possibly
dare to challenge you?"
